trustChurch_postTreat,responsiveness_postTreat,memberDuration,Concordant,attendanceBin,Country,futureVolunteer_postTreat,futureAttendance_postTreat,petitionInterest_postTreat,shouldAdvocate,rank_Conflict_position,age,gender,rank_SocioPolitic_position,rank_HumanRight_position,policyPref_econOverEnviron_position,policyPref_redistribute_position,policyPref_humanRights_position,policyPref_schoolPrayer_position,policyPref_military_position,responsiveness_preTreat,validityCheck,textViewed
4,2,16 years or more,0,Never/yearly,Mexico,3,3,7,9,1,45-54,Female,2,4,2,3,9,1,9,7,No hay que hablar de las personas a sus espaldas y hayq eu hacer elbien todos lso días pues no sabemos cuántos días tenemos,"El Papa cumple 80 años en Roma, se dirige a los Cardenales en la misa.
                     Si estás tentado a murmurar, 'muerde tu lengua', dice el Papa.
                     'Ama a Dios ahora, porque es posible que no tengas mañana', dice el Papa"
10,10,16 years or more,1,Weekly,Mexico,10,10,10,10,1,35-44,Male,3,2,10,10,10,10,10,10,Debe lucharse contra la pobreza.,"El Papa dice que la economía debe luchar contra la 'cultura desechable'.
                     'Generar nuevos modelos de progreso económico', el Papa inste a los líderes empresariales. 
                     'La economía de exclusión, la desigualdad provocó el crecimiento de la pobreza', dice el Papa"
7,7,16 years or more,0,Weekly,Mexico,7,7,4,6,2,35-44,Male,1,3,4,7,7,4,8,7,"el papa ya esta anciano, no envenenes la conciencia de otros, toma conciencia de las cosas a tiempo","El Papa cumple 80 años en Roma, se dirige a los Cardenales en la misa.
                     Si estás tentado a murmurar, 'muerde tu lengua', dice el Papa.
                     'Ama a Dios ahora, porque es posible que no tengas mañana', dice el Papa"
9,9,16 years or more,1,Monthly,Mexico,6,8,10,9,3,35-44,Female,2,4,8,10,10,5,10,9,La importancia de que los padres jueguen con sus hijos ya que de ahí radica una buena educación ,"La diplomacia del Vaticano se concentra en los derechos humanos en África.
                         Para El Papa, es imperativo: la libertad religiosa es un regalo de Dios. Defenderlo.
                         El Papa dice que la promoción de los recursos humanos es fundamental para el compromiso de la Unión Europea"
8,3,16 years or more,0,Weekly,Mexico,2,3,9,9,4,55-75,Male,1,3,3,9,8,2,10,10,El papa aboga por ayuda a los paises desarrollados sin descuidar los detechos humanos de los menos favorecidos,"La diplomacia del Vaticano se concentra en los derechos humanos en África.
                         Para El Papa, es imperativo: la libertad religiosa es un regalo de Dios. Defenderlo.
                         El Papa dice que la promoción de los recursos humanos es fundamental para el compromiso de la Unión Europea"
1,1,16 years or more,1,Weekly,Mexico,3,5,1,1,3,35-44,Female,1,2,1,1,10,1,5,8,La economía ha sido desigual para unos que para otros,"El Papa dice que la economía debe luchar contra la 'cultura desechable'.
                     'Generar nuevos modelos de progreso económico', el Papa inste a los líderes empresariales. 
                     'La economía de exclusión, la desigualdad provocó el crecimiento de la pobreza', dice el Papa"
8,7,16 years or more,1,Never/yearly,Mexico,2,5,4,6,3,55-75,Male,1,2,8,7,8,5,8,6,la economia es importante,"El Papa dice que la economía debe luchar contra la 'cultura desechable'.
                     'Generar nuevos modelos de progreso económico', el Papa inste a los líderes empresariales. 
                     'La economía de exclusión, la desigualdad provocó el crecimiento de la pobreza', dice el Papa"
10,6,16 years or more,1,Weekly,Mexico,9,7,10,10,4,55-75,Male,1,3,3,8,10,10,7,8,"El Papa, debe de velar por la paz en todo el mundo.","El Papa pide fin a la 'locura homicida' del terrorismo.
                      El Papa se reúne con los líderes colombianos a raíz del acuerdo de paz. 
                      Unámonos contra la guerra y la violencia, el Papa inste a la sinagoga romana"
10,9,16 years or more,0,Weekly,Mexico,8,8,7,8,2,55-75,Male,4,1,2,2,10,8,10,10,los pobres necesitan ayuda,"El Papa dice que la economía debe luchar contra la 'cultura desechable'.
                     'Generar nuevos modelos de progreso económico', el Papa inste a los líderes empresariales. 
                     'La economía de exclusión, la desigualdad provocó el crecimiento de la pobreza', dice el Papa"
7,5,16 years or more,0,Never/yearly,Mexico,5,5,7,7,1,25-34,Female,2,4,4,3,8,5,5,8,Ayuda al projimo y no juzgues,"'La educación y el juego son clave para la infancia', le dice El Papa a Cuba, a la juventud de los Estados Unidos.
                            La Santa Sede respalda los objetivos de salud global, dice 'no dejen a nadie atrás'.
                            El Papa pide: dales compasión a los inmigrantes, no culpes"
